Training log: concat_fusion
============================================================
Loading occurrence data...
Loading multimedia data...
Image sources: 30208 local | 375 URL fallback
Before cleaning: 30583 samples
After cleaning: 28477 samples, 241 species
Train: 19933 | Val: 4272 | Test: 4272

Model:      concat_fusion
Device:     cuda
Epochs:     100
LR:         0.0001
Loss:       FocalLoss
Seed:       42
Checkpoint: checkpoints/best_model_concat_fusion.pth
Trainable parameters: 4,566,765

Epoch    Train Loss   Train Acc    Val Loss     Val Acc   
-------------------------------------------------------
1        5.0706       5.92         4.4882       11.24     
2        4.0812       18.70        3.5136       28.79     
3        3.2346       30.76        2.7775       38.86     
4        2.6140       39.01        2.2310       46.28     
5        2.1484       45.71        1.8060       54.87     
6        1.7679       51.48        1.4923       58.82     
7        1.4951       56.04        1.2627       63.27     
8        1.2609       60.36        1.0982       66.57     
9        1.0857       64.27        0.9760       68.80     
10       0.9271       67.91        0.8611       71.04     
11       0.8219       70.39        0.7955       73.43     
12       0.7050       73.31        0.7370       75.05     
13       0.6215       75.65        0.6961       76.08     
14       0.5503       77.31        0.6675       76.43     
15       0.4782       79.75        0.6300       77.76     
16       0.4236       81.59        0.6272       77.48     
17       0.3875       82.61        0.6127       78.56     
18       0.3396       84.30        0.6090       78.60     
19       0.3039       85.81        0.5909       79.03     
20       0.2776       86.48        0.5847       79.40     
21       0.2448       87.90        0.5729       80.31     
22       0.2189       88.81        0.5670       80.08     
23       0.2002       89.62        0.5543       80.55     
24       0.1818       90.64        0.5585       80.55     
25       0.1691       91.11        0.5449       81.27     
26       0.1532       91.51        0.5602       81.20     
27       0.1411       92.40        0.5583       81.04     
28       0.1285       92.85        0.5537       81.32     
29       0.1211       92.97        0.5529       81.53     
30       0.1077       93.79        0.5508       81.65     
31       0.0933       94.47        0.5378       82.14     
32       0.0824       95.19        0.5333       82.14     
33       0.0832       95.30        0.5417       82.37     
34       0.0819       95.27        0.5440       82.49     
35       0.0713       95.74        0.5411       82.79     
36       0.0739       95.43        0.5373       82.94     
37       0.0677       95.88        0.5450       82.65     
38       0.0614       96.26        0.5367       82.56     
39       0.0583       96.43        0.5350       82.89     
40       0.0524       96.72        0.5341       82.84     
41       0.0547       96.66        0.5353       83.31     
42       0.0583       96.47        0.5396       83.01     
43       0.0498       96.87        0.5311       83.24     
44       0.0513       96.81        0.5314       83.08     
45       0.0462       97.08        0.5309       82.89     
46       0.0480       97.04        0.5377       83.10     
47       0.0488       96.98        0.5301       82.98     
48       0.0510       96.94        0.5324       83.29     
49       0.0456       96.96        0.5287       83.31     
50       0.0474       97.13        0.5340       83.57     
51       0.0448       97.16        0.5316       83.43     
52       0.0463       97.09        0.5306       83.17     
53       0.0431       97.23        0.5322       83.26     
54       0.0451       97.23        0.5314       83.17     
55       0.0408       97.44        0.5308       83.29     
56       0.0418       97.30        0.5282       83.26     
57       0.0441       97.16        0.5304       83.33     
58       0.0437       97.26        0.5286       83.82     
59       0.0445       97.35        0.5273       83.57     
60       0.0385       97.46        0.5294       83.50     
61       0.0417       97.53        0.5263       83.45     
62       0.0440       97.27        0.5326       83.47     
63       0.0400       97.46        0.5273       83.43     
64       0.0398       97.48        0.5253       83.38     
65       0.0399       97.52        0.5298       83.10     
66       0.0408       97.40        0.5257       83.50     
67       0.0368       97.63        0.5285       83.26     
68       0.0407       97.63        0.5270       83.43     
69       0.0402       97.45        0.5291       83.19     
70       0.0399       97.43        0.5263       83.29     
71       0.0386       97.55        0.5288       83.17     
72       0.0379       97.58        0.5291       83.19     
73       0.0396       97.51        0.5253       83.38     
74       0.0352       97.71        0.5262       83.36     
75       0.0377       97.59        0.5276       83.29     
76       0.0370       97.67        0.5265       83.22     
77       0.0388       97.56        0.5223       83.50     
78       0.0336       97.86        0.5287       83.43     
79       0.0382       97.60        0.5281       83.47     
80       0.0392       97.35        0.5259       83.45     
81       0.0397       97.59        0.5265       83.38     
82       0.0400       97.41        0.5265       83.43     
83       0.0351       97.74        0.5257       83.47     
84       0.0369       97.67        0.5249       83.54     
85       0.0370       97.59        0.5239       83.50     
86       0.0332       97.75        0.5278       83.52     
87       0.0372       97.58        0.5280       83.29     
88       0.0357       97.70        0.5302       83.26     
89       0.0374       97.66        0.5292       83.40     
90       0.0387       97.55        0.5253       83.54     
91       0.0380       97.54        0.5264       83.33     
92       0.0388       97.49        0.5278       83.38     
93       0.0351       97.84        0.5258       83.40     
94       0.0382       97.62        0.5251       83.45     
95       0.0374       97.70        0.5265       83.61     
96       0.0364       97.73        0.5277       83.36     
97       0.0357       97.63        0.5277       83.47     
98       0.0335       97.96        0.5299       83.38     
99       0.0414       97.41        0.5250       83.40     
100      0.0353       97.67        0.5268       83.22     

Best val accuracy: 83.82% at epoch 58

Test Loss: 0.5214 | Test Accuracy: 84.29%
