Training log: early_fusion
============================================================
Loading occurrence data...
Loading multimedia data...
Image sources: 30208 local | 375 URL fallback
Before cleaning: 30583 samples
After cleaning: 28477 samples, 241 species
Train: 19933 | Val: 4272 | Test: 4272

Model:      early_fusion
Device:     cuda
Epochs:     100
LR:         0.0001
Loss:       FocalLoss
Seed:       42
Checkpoint: checkpoints/best_model_early_fusion.pth
Trainable parameters: 4,965,101

Epoch    Train Loss   Train Acc    Val Loss     Val Acc   
-------------------------------------------------------
1        4.9519       10.75        4.0538       24.25     
2        3.6995       30.67        3.1273       39.00     
3        2.8909       43.59        2.5351       49.30     
4        2.3592       51.92        2.1040       55.83     
5        1.9625       59.01        1.7706       61.19     
6        1.6349       64.63        1.5278       64.98     
7        1.3812       69.25        1.3184       69.19     
8        1.1618       73.21        1.1601       71.89     
9        0.9831       76.72        1.0247       73.97     
10       0.8224       80.25        0.9191       76.31     
11       0.6978       82.92        0.8190       77.81     
12       0.5825       85.30        0.7447       79.07     
13       0.4884       87.60        0.6823       80.29     
14       0.4092       89.13        0.6375       80.85     
15       0.3377       90.98        0.5978       82.19     
16       0.2784       92.38        0.5625       82.79     
17       0.2285       93.92        0.5410       83.22     
18       0.1855       94.90        0.5185       83.78     
19       0.1540       95.60        0.4975       84.29     
20       0.1291       96.34        0.5007       84.50     
21       0.1090       96.84        0.4756       84.41     
22       0.0875       97.48        0.4808       84.04     
23       0.0781       97.73        0.4628       85.28     
24       0.0695       97.82        0.4602       84.85     
25       0.0601       98.17        0.4600       84.83     
26       0.0508       98.32        0.4514       85.35     
27       0.0469       98.47        0.4448       85.25     
28       0.0447       98.47        0.4425       85.07     
29       0.0408       98.60        0.4440       85.42     
30       0.0363       98.70        0.4477       85.14     
31       0.0313       99.03        0.4391       85.35     
32       0.0288       99.01        0.4435       85.39     
33       0.0264       98.94        0.4191       86.05     
34       0.0260       99.01        0.4341       85.21     
35       0.0258       99.03        0.4216       85.44     
36       0.0221       99.25        0.4130       85.96     
37       0.0221       99.22        0.4102       86.00     
38       0.0205       99.19        0.4218       85.37     
39       0.0211       99.17        0.4300       85.77     
40       0.0183       99.31        0.4192       85.81     
41       0.0161       99.27        0.4281       85.67     
42       0.0165       99.29        0.4221       85.56     
43       0.0135       99.49        0.4066       86.19     
44       0.0130       99.47        0.4106       86.05     
45       0.0116       99.52        0.4068       85.98     
46       0.0106       99.60        0.4104       85.98     
47       0.0101       99.59        0.4034       86.47     
48       0.0099       99.58        0.4058       86.31     
49       0.0099       99.61        0.4042       86.38     
50       0.0102       99.55        0.4017       86.45     
51       0.0100       99.55        0.4054       86.28     
52       0.0091       99.62        0.4062       86.38     
53       0.0089       99.62        0.4014       86.47     
54       0.0080       99.71        0.4038       86.17     
55       0.0084       99.61        0.3990       86.42     
56       0.0080       99.66        0.4013       86.52     
57       0.0077       99.63        0.3966       86.59     
58       0.0084       99.66        0.4013       86.59     
59       0.0084       99.66        0.4080       86.40     
60       0.0075       99.61        0.4054       86.45     
61       0.0073       99.66        0.4034       86.63     
62       0.0066       99.73        0.4036       86.49     
63       0.0064       99.72        0.4035       86.42     
64       0.0058       99.76        0.3998       86.73     
65       0.0060       99.72        0.3952       86.75     
66       0.0057       99.75        0.3972       86.82     
67       0.0054       99.78        0.3977       87.03     
68       0.0053       99.78        0.3962       87.13     
69       0.0059       99.77        0.3988       86.87     
70       0.0046       99.78        0.3924       87.29     
71       0.0057       99.76        0.3957       86.61     
72       0.0050       99.80        0.3924       86.94     
73       0.0044       99.83        0.3934       87.08     
74       0.0047       99.78        0.3941       87.22     
75       0.0045       99.82        0.3929       87.17     
76       0.0047       99.81        0.3906       87.10     
77       0.0047       99.78        0.3905       87.29     
78       0.0051       99.79        0.3918       87.13     
79       0.0039       99.83        0.3933       87.24     
80       0.0048       99.82        0.3903       87.15     
81       0.0047       99.80        0.3906       86.99     
82       0.0048       99.80        0.3879       87.15     
83       0.0042       99.83        0.3871       87.24     
84       0.0035       99.84        0.3882       87.48     
85       0.0048       99.77        0.3881       87.36     
86       0.0040       99.78        0.3841       87.48     
87       0.0039       99.81        0.3882       87.34     
88       0.0044       99.78        0.3881       87.29     
89       0.0044       99.78        0.3868       87.38     
90       0.0038       99.83        0.3863       87.55     
91       0.0037       99.82        0.3870       87.34     
92       0.0037       99.83        0.3861       87.50     
93       0.0038       99.82        0.3878       87.20     
94       0.0038       99.81        0.3849       87.34     
95       0.0038       99.85        0.3858       87.38     
96       0.0035       99.83        0.3852       87.38     
97       0.0032       99.85        0.3851       87.31     
98       0.0042       99.84        0.3841       87.50     
99       0.0034       99.83        0.3842       87.62     
100      0.0037       99.81        0.3838       87.34     

Best val accuracy: 87.62% at epoch 99

Test Loss: 0.3864 | Test Accuracy: 87.57%
