Training log: gated_fusion
============================================================
Loading occurrence data...
Loading multimedia data...
Image sources: 30208 local | 375 URL fallback
Before cleaning: 30583 samples
After cleaning: 28477 samples, 241 species
Train: 19933 | Val: 4272 | Test: 4272

Model:      gated_fusion
Device:     cuda
Epochs:     100
LR:         0.0001
Loss:       FocalLoss
Seed:       42
Checkpoint: checkpoints/best_model_gated_fusion.pth
Trainable parameters: 4,632,558

Epoch    Train Loss   Train Acc    Val Loss     Val Acc   
-------------------------------------------------------
1        5.1338       5.30         4.6259       8.50      
2        4.2843       14.80        3.7746       25.05     
3        3.4644       27.56        2.9872       34.88     
4        2.7904       36.19        2.3622       44.19     
5        2.2728       43.55        1.8979       51.76     
6        1.8722       49.09        1.5564       57.02     
7        1.5712       54.36        1.3107       62.13     
8        1.3426       58.64        1.1302       66.06     
9        1.1581       62.24        1.0136       67.81     
10       0.9971       65.94        0.9032       70.25     
11       0.8854       68.56        0.8290       72.17     
12       0.7680       71.56        0.7771       73.31     
13       0.6753       73.63        0.7251       74.49     
14       0.6036       75.80        0.7044       75.23     
15       0.5293       77.94        0.6637       76.57     
16       0.4715       79.86        0.6430       76.59     
17       0.4226       81.32        0.6328       77.72     
18       0.3712       83.15        0.6230       78.09     
19       0.3334       84.52        0.6049       79.10     
20       0.3051       85.71        0.6195       79.14     
21       0.2677       86.93        0.6057       79.52     
22       0.2416       88.03        0.6029       79.28     
23       0.2169       89.05        0.6062       79.31     
24       0.1991       89.56        0.5873       79.49     
25       0.1806       90.24        0.5846       80.50     
26       0.1673       90.77        0.6024       80.06     
27       0.1553       91.74        0.6018       80.38     
28       0.1457       92.06        0.5864       80.97     
29       0.1333       92.70        0.5885       80.97     
30       0.1190       93.27        0.5839       80.97     
31       0.1126       93.64        0.5782       81.74     
32       0.0998       94.08        0.6065       81.60     
33       0.0981       94.53        0.5934       81.25     
34       0.0974       94.39        0.5881       81.25     
35       0.0845       95.00        0.5868       81.41     
36       0.0844       94.92        0.5884       81.65     
37       0.0771       95.59        0.5854       82.26     
38       0.0627       96.33        0.5760       82.21     
39       0.0592       96.36        0.5795       82.09     
40       0.0601       96.42        0.5839       81.74     
41       0.0584       96.44        0.5832       82.14     
42       0.0594       96.61        0.5858       82.19     
43       0.0548       96.64        0.5763       82.65     
44       0.0458       97.02        0.5654       82.79     
45       0.0414       97.41        0.5643       82.94     
46       0.0442       97.49        0.5699       82.49     
47       0.0414       97.42        0.5680       82.82     
48       0.0409       97.50        0.5763       82.89     
49       0.0416       97.29        0.5725       82.70     
50       0.0379       97.51        0.5740       82.96     
51       0.0388       97.63        0.5731       82.87     
52       0.0386       97.55        0.5772       82.65     
53       0.0355       97.71        0.5778       82.84     
54       0.0377       97.67        0.5725       83.01     
55       0.0364       97.66        0.5742       82.96     
56       0.0358       97.77        0.5719       82.89     
57       0.0361       97.73        0.5760       82.94     
58       0.0350       97.82        0.5737       82.87     
59       0.0350       97.84        0.5714       82.96     
60       0.0305       98.14        0.5741       82.98     
61       0.0351       97.87        0.5693       83.10     
62       0.0323       97.90        0.5729       82.89     
63       0.0331       97.77        0.5711       83.10     
64       0.0315       97.89        0.5694       83.01     
65       0.0321       97.99        0.5702       82.98     
66       0.0335       97.84        0.5693       82.79     
67       0.0313       97.94        0.5686       82.91     
68       0.0298       98.14        0.5686       82.94     
69       0.0321       97.89        0.5710       83.03     
70       0.0303       98.00        0.5663       83.10     
71       0.0346       97.82        0.5687       82.98     
72       0.0342       97.82        0.5709       83.08     
73       0.0333       97.81        0.5685       82.98     
74       0.0309       98.04        0.5705       83.08     
75       0.0350       97.82        0.5689       83.03     
76       0.0323       97.82        0.5668       83.03     
77       0.0351       97.76        0.5648       83.10     
78       0.0309       97.93        0.5692       83.01     
79       0.0310       97.99        0.5708       83.05     
80       0.0329       97.92        0.5684       83.12     
81       0.0324       97.94        0.5678       83.10     
82       0.0344       97.85        0.5684       82.98     
83       0.0307       97.97        0.5675       82.89     
84       0.0327       97.98        0.5680       82.98     
85       0.0329       97.92        0.5653       83.01     
86       0.0299       97.96        0.5664       82.94     
87       0.0325       97.92        0.5703       82.84     
88       0.0309       98.09        0.5698       83.03     
89       0.0303       98.21        0.5689       83.12     
90       0.0333       97.83        0.5654       83.33     
91       0.0302       97.99        0.5665       83.03     
92       0.0313       97.95        0.5706       82.84     
93       0.0328       98.05        0.5694       82.98     
94       0.0344       97.87        0.5663       83.10     
95       0.0344       97.87        0.5689       83.05     
96       0.0340       97.85        0.5704       83.08     
97       0.0306       97.98        0.5683       83.08     
98       0.0317       98.09        0.5682       82.89     
99       0.0330       97.83        0.5676       83.12     
100      0.0280       98.09        0.5681       82.96     

Best val accuracy: 83.33% at epoch 90

Test Loss: 0.5313 | Test Accuracy: 84.13%
