Training log: image_only
============================================================
Loading occurrence data...
Loading multimedia data...
Image sources: 30208 local | 375 URL fallback
Before cleaning: 30583 samples
After cleaning: 28477 samples, 241 species
Train: 19933 | Val: 4272 | Test: 4272
Downloading: "https://download.pytorch.org/models/efficientnet_b0_rwightman-7f5810bc.pth" to /home/shajiaghajani/.cache/torch/hub/checkpoints/efficientnet_b0_rwightman-7f5810bc.pth

Model:      image_only
Device:     cuda
Epochs:     100
LR:         3e-05
Loss:       FocalLoss
Seed:       42
Checkpoint: checkpoints/best_model_image_only.pth
Trainable parameters: 4,316,269

Epoch    Train Loss   Train Acc    Val Loss     Val Acc   
-------------------------------------------------------
1        5.3193       2.63         5.1114       9.50      
2        4.9046       12.70        4.5567       16.92     
3        4.3451       18.66        3.9989       21.51     
4        3.8174       24.02        3.5131       27.46     
5        3.3528       30.22        3.0924       34.60     
6        2.9598       36.12        2.7304       40.10     
7        2.6339       41.33        2.4419       45.06     
8        2.3647       45.81        2.2101       48.81     
9        2.1345       49.53        2.0015       52.04     
10       1.9305       53.21        1.8275       55.36     
11       1.7636       55.95        1.6762       57.56     
12       1.6139       58.67        1.5447       59.76     
13       1.4792       61.43        1.4288       61.82     
14       1.3644       63.26        1.3329       63.27     
15       1.2553       65.55        1.2476       65.24     
16       1.1634       67.29        1.1684       67.11     
17       1.0845       69.08        1.0963       68.66     
18       0.9986       71.00        1.0398       69.80     
19       0.9313       72.09        0.9891       70.67     
20       0.8673       74.02        0.9373       72.05     
21       0.8071       75.12        0.8980       72.71     
22       0.7544       76.59        0.8604       73.36     
23       0.7069       77.74        0.8270       73.83     
24       0.6636       78.80        0.7960       74.41     
25       0.6224       79.66        0.7689       75.12     
26       0.5813       80.85        0.7423       75.80     
27       0.5418       82.05        0.7202       76.38     
28       0.5108       82.93        0.6987       76.73     
29       0.4812       83.60        0.6832       76.85     
30       0.4526       84.33        0.6655       77.29     
31       0.4179       85.41        0.6491       77.79     
32       0.3999       85.86        0.6396       78.32     
33       0.3755       86.72        0.6273       78.75     
34       0.3555       87.05        0.6163       78.60     
35       0.3314       87.67        0.6069       79.00     
36       0.3127       88.47        0.5966       79.26     
37       0.2976       89.00        0.5933       79.61     
38       0.2812       89.40        0.5879       79.17     
39       0.2670       89.87        0.5791       79.56     
40       0.2480       90.56        0.5704       79.89     
41       0.2312       91.31        0.5684       79.99     
42       0.2232       91.20        0.5625       80.20     
43       0.2073       91.79        0.5581       80.01     
44       0.1978       92.27        0.5546       80.15     
45       0.1902       92.28        0.5535       80.13     
46       0.1819       92.46        0.5472       80.52     
47       0.1668       92.97        0.5479       80.38     
48       0.1571       93.51        0.5483       80.31     
49       0.1544       93.46        0.5412       80.50     
50       0.1441       93.98        0.5437       80.83     
51       0.1369       94.29        0.5386       80.81     
52       0.1296       94.40        0.5395       80.71     
53       0.1225       94.83        0.5400       80.99     
54       0.1172       95.00        0.5388       80.88     
55       0.1066       95.44        0.5353       81.06     
56       0.1052       95.25        0.5326       80.99     
57       0.0986       95.81        0.5367       81.06     
58       0.0983       95.83        0.5326       81.46     
59       0.0905       95.91        0.5295       81.34     
60       0.0884       96.00        0.5306       81.37     
61       0.0855       96.24        0.5279       81.65     
62       0.0808       96.27        0.5290       81.48     
63       0.0754       96.44        0.5273       81.72     
64       0.0727       96.74        0.5233       82.00     
65       0.0711       96.61        0.5218       81.93     
66       0.0639       97.06        0.5203       82.07     
67       0.0616       97.22        0.5164       82.12     
68       0.0623       97.19        0.5169       81.84     
69       0.0584       97.25        0.5177       82.09     
70       0.0600       97.31        0.5212       82.02     
71       0.0540       97.54        0.5222       81.95     
72       0.0498       97.76        0.5230       81.51     
73       0.0500       97.68        0.5181       81.95     
74       0.0470       97.82        0.5173       81.95     
75       0.0484       97.80        0.5180       82.16     
76       0.0504       97.59        0.5138       82.26     
77       0.0463       97.70        0.5113       82.26     
78       0.0471       97.68        0.5152       82.12     
79       0.0462       97.76        0.5146       82.21     
80       0.0444       97.91        0.5125       82.19     
81       0.0443       97.86        0.5143       82.21     
82       0.0441       97.97        0.5129       82.40     
83       0.0436       97.91        0.5129       82.12     
84       0.0439       97.98        0.5121       82.07     
85       0.0449       97.78        0.5102       82.28     
86       0.0419       97.97        0.5113       82.33     
87       0.0412       98.00        0.5138       82.37     
88       0.0398       98.05        0.5131       82.07     
89       0.0428       98.05        0.5109       82.30     
90       0.0411       98.06        0.5087       82.23     
91       0.0403       98.06        0.5119       82.14     
92       0.0423       98.04        0.5103       82.33     
93       0.0387       98.14        0.5110       82.26     
94       0.0421       98.02        0.5102       82.26     
95       0.0407       98.09        0.5121       82.28     
96       0.0391       98.22        0.5120       82.23     
97       0.0386       98.10        0.5120       82.21     
98       0.0393       98.07        0.5123       82.33     
99       0.0408       98.02        0.5088       82.26     
100      0.0404       98.10        0.5128       82.35     

Best val accuracy: 82.40% at epoch 82

Test Loss: 0.5084 | Test Accuracy: 82.68%
