Training log: metadata_only
============================================================
Loading occurrence data...
Loading multimedia data...
Image sources: 30208 local | 375 URL fallback
Before cleaning: 30583 samples
After cleaning: 28477 samples, 241 species
Train: 19933 | Val: 4272 | Test: 4272

Model:      metadata_only
Device:     cuda
Epochs:     100
LR:         0.0001
Loss:       FocalLoss
Seed:       42
Checkpoint: checkpoints/best_model_metadata_only.pth
Trainable parameters: 601,329

Epoch    Train Loss   Train Acc    Val Loss     Val Acc   
-------------------------------------------------------
1        5.3773       1.43         5.1358       5.55      
2        5.0879       5.20         4.8594       7.70      
3        4.8476       7.09         4.6242       9.27      
4        4.6638       8.50         4.4598       10.09     
5        4.5276       8.93         4.3418       10.28     
6        4.4204       9.26         4.2521       10.65     
7        4.3429       9.54         4.1876       10.79     
8        4.2779       9.73         4.1333       10.96     
9        4.2306       10.01        4.0898       11.03     
10       4.1832       10.34        4.0544       11.21     
11       4.1381       9.94         4.0202       10.98     
12       4.1096       10.30        3.9931       11.03     
13       4.0777       10.39        3.9681       11.45     
14       4.0487       10.46        3.9458       11.52     
15       4.0226       10.58        3.9246       11.54     
16       4.0049       10.52        3.9089       11.91     
17       3.9797       10.92        3.8892       12.13     
18       3.9487       10.94        3.8755       12.06     
19       3.9404       10.94        3.8604       12.20     
20       3.9210       10.79        3.8495       12.01     
21       3.9135       10.82        3.8357       12.27     
22       3.8919       11.05        3.8272       12.29     
23       3.8797       11.28        3.8178       12.31     
24       3.8697       11.26        3.8071       12.36     
25       3.8507       11.33        3.7973       12.52     
26       3.8452       11.30        3.7901       12.59     
27       3.8395       11.50        3.7800       12.64     
28       3.8208       11.36        3.7732       12.62     
29       3.8156       11.31        3.7668       12.64     
30       3.7956       11.46        3.7578       12.90     
31       3.8007       11.41        3.7535       12.90     
32       3.7822       11.86        3.7487       12.83     
33       3.7772       11.78        3.7402       13.18     
34       3.7662       12.02        3.7353       12.94     
35       3.7623       11.73        3.7305       13.01     
36       3.7606       11.98        3.7265       13.04     
37       3.7456       11.75        3.7226       13.01     
38       3.7368       12.04        3.7171       12.87     
39       3.7283       12.15        3.7160       13.04     
40       3.7199       12.24        3.7072       13.01     
41       3.7122       12.31        3.7055       13.25     
42       3.7129       12.31        3.7025       13.23     
43       3.7055       12.19        3.6992       13.48     
44       3.6921       12.16        3.6934       13.41     
45       3.6916       12.36        3.6905       13.37     
46       3.6864       12.28        3.6899       13.48     
47       3.6760       12.44        3.6835       13.58     
48       3.6744       12.51        3.6830       13.67     
49       3.6667       12.51        3.6790       13.74     
50       3.6596       12.61        3.6768       13.39     
51       3.6568       12.43        3.6768       13.53     
52       3.6553       12.48        3.6719       13.81     
53       3.6493       12.52        3.6701       13.72     
54       3.6456       12.64        3.6690       13.79     
55       3.6418       12.87        3.6646       13.60     
56       3.6317       12.67        3.6618       13.48     
57       3.6284       12.66        3.6618       14.00     
58       3.6240       12.68        3.6590       13.79     
59       3.6246       12.94        3.6550       13.86     
60       3.6134       12.70        3.6547       13.60     
61       3.6090       12.88        3.6537       13.53     
62       3.6117       12.76        3.6527       14.16     
63       3.6035       12.95        3.6498       13.88     
64       3.6024       13.08        3.6505       13.76     
65       3.5910       12.99        3.6505       13.86     
66       3.5922       12.77        3.6456       13.46     
67       3.5865       13.13        3.6460       13.79     
68       3.5943       13.09        3.6444       13.81     
69       3.5751       12.91        3.6439       13.69     
70       3.5735       13.15        3.6415       13.76     
71       3.5716       13.08        3.6404       13.67     
72       3.5702       13.09        3.6377       14.02     
73       3.5614       13.27        3.6369       13.74     
74       3.5674       13.22        3.6373       13.76     
75       3.5545       13.52        3.6385       13.65     
76       3.5533       13.11        3.6351       13.79     
77       3.5516       13.19        3.6364       13.65     
78       3.5447       13.55        3.6351       13.62     
79       3.5519       13.22        3.6348       13.67     
80       3.5468       13.08        3.6297       13.81     
81       3.5391       13.34        3.6294       13.65     
82       3.5300       13.31        3.6288       13.74     
83       3.5387       13.48        3.6302       13.58     
84       3.5228       13.43        3.6284       13.46     
85       3.5265       13.64        3.6307       13.79     
86       3.5238       13.68        3.6289       13.58     
87       3.5234       13.46        3.6284       13.83     
88       3.5156       13.54        3.6298       13.67     
89       3.5191       13.64        3.6267       13.53     
90       3.5123       13.46        3.6274       13.81     
91       3.5091       13.82        3.6251       13.81     
92       3.5096       13.56        3.6242       13.86     
93       3.5081       13.66        3.6243       13.60     
94       3.4988       13.48        3.6264       13.65     
95       3.4953       13.61        3.6213       13.72     
96       3.4956       13.68        3.6249       13.72     
97       3.4885       13.69        3.6201       13.62     
98       3.4919       13.46        3.6213       13.79     
99       3.4857       13.64        3.6197       13.95     
100      3.4864       13.61        3.6179       13.90     

Best val accuracy: 14.16% at epoch 62

Test Loss: 3.7146 | Test Accuracy: 13.32%
