Training log: transformer_fusion
============================================================
Loading occurrence data...
Loading multimedia data...
Image sources: 30208 local | 375 URL fallback
Before cleaning: 30583 samples
After cleaning: 28477 samples, 241 species
Train: 19933 | Val: 4272 | Test: 4272

Model:      transformer_fusion
Device:     cuda
Epochs:     100
LR:         0.0001
Loss:       FocalLoss
Seed:       42
Checkpoint: checkpoints/best_model_transformer_fusion.pth
Trainable parameters: 6,082,285

Epoch    Train Loss   Train Acc    Val Loss     Val Acc   
-------------------------------------------------------
1        4.8594       9.13         4.1498       16.50     
2        3.7528       24.88        3.0784       34.43     
3        2.9036       38.66        2.4007       45.83     
4        2.2994       48.09        1.9248       53.30     
5        1.8602       55.26        1.5899       58.80     
6        1.5105       61.31        1.3327       63.23     
7        1.2374       66.78        1.1480       67.21     
8        1.0321       70.30        1.0100       69.87     
9        0.8539       74.17        0.9021       71.86     
10       0.7102       77.07        0.8308       73.71     
11       0.5961       80.13        0.7658       75.00     
12       0.5053       82.25        0.7142       76.45     
13       0.4232       84.55        0.6958       77.48     
14       0.3615       86.18        0.6730       78.04     
15       0.3074       87.99        0.6639       78.49     
16       0.2624       89.48        0.6522       78.56     
17       0.2271       90.44        0.6452       79.33     
18       0.1970       91.52        0.6298       80.08     
19       0.1666       92.61        0.6311       79.99     
20       0.1549       92.81        0.6356       80.17     
21       0.1333       93.52        0.6324       80.38     
22       0.1212       94.25        0.6293       79.99     
23       0.1107       94.62        0.6298       80.45     
24       0.0962       95.18        0.6289       80.41     
25       0.0839       95.74        0.6262       80.52     
26       0.0879       95.73        0.6405       80.52     
27       0.0748       96.05        0.6482       80.55     
28       0.0707       96.40        0.6352       80.92     
29       0.0659       96.50        0.6487       80.34     
30       0.0633       96.69        0.6269       81.30     
31       0.0494       97.42        0.6281       81.67     
32       0.0457       97.59        0.6169       82.09     
33       0.0461       97.67        0.6133       81.81     
34       0.0405       97.73        0.6193       81.76     
35       0.0383       98.08        0.6268       81.58     
36       0.0343       98.09        0.6182       81.98     
37       0.0366       98.07        0.6289       82.30     
38       0.0329       98.22        0.6300       82.21     
39       0.0328       98.21        0.6131       82.21     
40       0.0290       98.48        0.6165       81.79     
41       0.0285       98.49        0.6134       82.14     
42       0.0257       98.56        0.6103       82.40     
43       0.0252       98.72        0.6137       82.16     
44       0.0222       98.79        0.6090       82.47     
45       0.0241       98.79        0.6031       82.21     
46       0.0228       98.80        0.6081       82.07     
47       0.0230       98.93        0.6079       82.44     
48       0.0212       98.87        0.6153       82.42     
49       0.0215       98.77        0.6074       82.68     
50       0.0202       98.99        0.6108       82.56     
51       0.0202       98.99        0.6050       82.44     
52       0.0198       99.05        0.5995       82.56     
53       0.0180       99.12        0.6107       82.58     
54       0.0213       99.02        0.6075       82.56     
55       0.0156       99.18        0.6051       82.40     
56       0.0192       99.09        0.6078       82.79     
57       0.0169       99.13        0.6123       82.54     
58       0.0180       99.04        0.6080       82.75     
59       0.0168       99.14        0.6061       82.87     
60       0.0173       99.09        0.6112       82.65     
61       0.0175       99.08        0.6066       82.61     
62       0.0168       99.17        0.6074       82.72     
63       0.0163       99.20        0.6073       82.72     
64       0.0158       99.12        0.6086       82.79     
65       0.0161       99.22        0.6077       82.75     
66       0.0142       99.19        0.6094       82.68     
67       0.0155       99.20        0.6068       82.75     
68       0.0138       99.21        0.6100       82.56     
69       0.0139       99.31        0.6073       82.87     
70       0.0157       99.11        0.6047       83.05     
71       0.0141       99.24        0.6069       82.82     
72       0.0167       99.12        0.6058       82.65     
73       0.0139       99.26        0.6064       82.70     
74       0.0154       99.16        0.6067       82.75     
75       0.0131       99.30        0.6100       82.68     
76       0.0143       99.18        0.6076       82.61     
77       0.0180       99.16        0.6056       82.82     
78       0.0143       99.22        0.6041       82.91     
79       0.0150       99.21        0.6079       82.68     
80       0.0140       99.28        0.6036       82.89     
81       0.0149       99.18        0.6056       82.56     
82       0.0156       99.20        0.6057       82.82     
83       0.0169       99.07        0.6027       82.75     
84       0.0153       99.26        0.6066       82.75     
85       0.0145       99.24        0.6050       82.77     
86       0.0146       99.24        0.6051       82.72     
87       0.0159       99.21        0.6081       82.89     
88       0.0180       99.19        0.6054       82.54     
89       0.0149       99.15        0.6039       82.77     
90       0.0149       99.25        0.6027       82.91     
91       0.0133       99.30        0.6052       82.79     
92       0.0170       99.14        0.6072       82.96     
93       0.0140       99.31        0.6077       82.84     
94       0.0165       99.18        0.6067       82.77     
95       0.0156       99.24        0.6073       82.58     
96       0.0162       99.16        0.6059       82.61     
97       0.0142       99.28        0.6041       82.75     
98       0.0178       99.24        0.6037       82.65     
99       0.0164       99.24        0.6031       82.89     
100      0.0135       99.41        0.6076       82.58     

Best val accuracy: 83.05% at epoch 70

Test Loss: 0.5935 | Test Accuracy: 83.33%
